iggdb_species_id	iggdb_species_name	taxonomy	gut_mags	ref_genomes	ncbi_id
153766	Ruminococcus sp. HGM-149	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__	34	0	1263
181725	Hungatella sp.	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__WAL-18680;s__WAL-18680 hathewayi	0	1	154046
168393	Clostridium sp.	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-433;g__CAG-594;s__	2	1	1485
167936	Clostridiales sp. HGM-491	d__Bacteria;p__Firmicutes;c__Clostridia	5	0	186802
178669	Clostridium cadaveris	d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_X;s__Clostridium_X cadaveris	0	3	1529
172916	Clostridium sp.	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-65	187	1	59620
156477	Lentisphaeria sp. HGM-184	d__Bacteria;p__Verrucomicrobia;c__Lentisphaeria;o__UBA1784	24	0	1313211
174971	Fusobacterium nucleatum	d__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum_B	0	27	851
185061	Pantoea conspicua	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__	4	6	472705
184937	Clostridiales sp. HGM-1170	d__Bacteria;p__Firmicutes;c__Clostridia;o__CAG-41	1	0	186802
174007	Citrobacter sp.	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter freundii_C	3	16	546
178752	Ruminococcaceae sp. HGM-1369	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__DTU089	1	0	541000
166631	Firmicutes sp.	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-791;s__	18	1	1239
175312	Prevotella copri	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri	221	3	165179
175379	Collinsella sp. HGM-447	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	6	0	102106
173793	Lactobacillus mucosae	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_H;s__Lactobacillus_H mucosae_A	17	9	97478
175534	Bacillus massilioanorexius	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_A;g__Bacillus_AD;s__Bacillus_AD massilioanorexius	0	1	1468413
154525	Clostridiales sp. HGM-717	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__DTU089	2	0	186802
174627	Oscillibacter sp.	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	16	1	459786
179228	Niameybacter massiliensis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__mt14;s__	0	1	1658108
172362	Streptococcus equinus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus equinus	0	21	1335
171729	Megasphaera elsdenii	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera elsdenii	21	8	907
168765	Ruminococcus sp. HGM-114	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__DTU089;g__Ruminococcus_E;s__Ruminococcus_E bromii	44	0	1263
172507	Holdemanella sp. HGM-642	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella	3	0	1573535
183941	Firmicutes sp. HGM-1116	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110	1	0	1239
171040	Moellerella wisconsensis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Moellerella;s__Moellerella wisconsensis	0	2	158849
183057	Anaerofustis stercorihominis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae;g__Anaerofustis;s__Anaerofustis stercorihominis	0	1	214853
175138	Haloferax denitrificans	d__Archaea;p__Halobacteraeota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax denitrificans	0	3	35745
185802	Firmicutes sp. HGM-1198	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-460;s__	1	0	1239
177219	Ruminococcaceae sp. HGM-1312	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	1	0	541000
165046	Firmicutes sp.	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	7	1	1239
172871	Proteus mirabilis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus mirabilis	17	81	584
176933	Arabia massiliensis	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__YY7918	0	1	1870985
177308	Eubacterium sp. HGM-1319	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G ventriosum	1	0	1730
181785	Ruminococcaceae sp. HGM-1036	d__Bacteria;p__Firmicutes;c__Clostridia;o__4C28d-15	1	0	541000
170640	Eggerthella sp.	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__	2	1	84111
171509	Azospirillum sp.	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-495;s__	40	1	191
161225	Bacteroides sp.	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Homeothermaceae;g__CAG-1031;s__	5	1	816
177839	Clostridium sp. Marseille-P2538	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__	0	1	1816694
165315	Lachnoclostridium sp.	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1	1	1506553
176205	Lactobacillus antri	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_H;s__Lactobacillus_H antri	0	3	227943
179647	Succinatimonas hippei	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinatimonas;s__Succinatimonas hippei	0	1	626938
171537	Acidiphilium sp.	d__Bacteria;p__Firmicutes;c__Clostridia;o__4C28d-15;f__CAG-727;g__UBA10281;s__	4	1	522
157532	Enterobacter cancerogenus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cancerogenus	0	10	69218
177538	Paenibacillus ihumii	d__Bacteria;p__Firmicutes;c__Bacilli_A;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus_Q;s__Paenibacillus_Q ihumii	0	1	687436
172020	Subdoligranulum sp. HGM-26	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum	198	0	292632
169553	Olsenella sp. SIT9	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_A;s__	0	2	1622075
165345	Cronobacter malonaticus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter malonaticus	0	15	413503
155631	Pelistega indica	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Pelistega;s__Pelistega indica	0	2	1414851
186818	Collinsella sp. HGM-1221	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	1	0	102106
176161	Collinsella sp. HGM-1280	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	1	0	102106
169356	Faecalibacterium sp. HGM-554	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	4	0	216851
169557	Prevotella sp.	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	1	1	838
181560	Tannerella sp. HGM-809	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Coprobacteraceae;g__Coprobacter	2	0	195950
184383	Eisenbergiella sp. HGM-606	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella	3	0	1432051
179882	Campylobacter sp.	d__Bacteria;p__Epsilonbacteraeota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A	0	1	199
177268	Prevotella sp. HGM-1316	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella	1	0	838
175401	Faecalibacterium sp. HGM-263	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	14	0	216851
181187	Risungbinella massiliensis	d__Bacteria;p__Firmicutes;c__Bacilli_A;o__Thermoactinomycetales;f__Thermoactinomycetaceae;g__Risungbinella;s__Risungbinella massiliensis	0	1	1329796
179807	Bacteroides sp. HGM-989	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	1	0	816
163941	Firmicutes sp. HGM-741	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170	2	0	1239
162787	Oceanobacillus picturae	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Amphibacillaceae;g__Virgibacillus;s__Virgibacillus picturae	0	2	171693
