species_id	species_alt_id	max_complete	min_contam	max_qs
OTU-00189	206583	66.18	0	66.18000030517578
OTU-21937	206585	70	1.67	61.65000021457672
OTU-01066	206587	82.93	0	62.93000030517578
OTU-17573	206589	99.28	0	99.27999877929688
OTU-08092	206590	94.34	0.44	85.08999621868134
OTU-21105	206591	76.94	0	71.24000251293182
OTU-21671	206592	90.51	1.67	81.11000216007233
OTU-14549	206593	69.78	0	69.77999877929688
OTU-16267	206595	100	2.63	84.65000033378601
OTU-16639	206596	68.45	2.38	56.5499963760376
OTU-15050	206597	82.48	0	82.4800033569336
OTU-16004	206599	97.58	0	85.83000230789185
OTU-06991	206605	99.46	0	99.45999908447266
OTU-01032	206606	76.74	0	73.93000030517578
OTU-06400	206609	98.48	0.57	94.11999982595444
OTU-16134	206614	97.8	0	91.40000319480896
OTU-20966	206615	95.02	0.42	79.91999673843384
OTU-09623	206616	99.17	1.22	90.56999802589417
OTU-21357	206619	90.52	2.68	50.000001192092896
OTU-08401	206621	85.39	0	83.1500015258789
OTU-16007	206622	88.6	2.35	65.04999828338623
OTU-07896	206624	92.86	1.79	83.91000080108643
OTU-02126	206630	98.63	0.51	96.07999730110168
OTU-22700	206631	90.06	1.68	80.04999721050262
OTU-16733	206632	79.4	1.42	59.400001525878906
OTU-15697	206633	65.65	0	65.6500015258789
OTU-06773	206634	94.85	0.95	68.44999742507935
OTU-01283	206635	65.38	0	65.37999725341797
OTU-21542	206636	75.8	2.92	41.30000114440918
OTU-18671	206638	95.21	0	95.20999908447266
OTU-15862	206639	95.45	1.14	85.78000342845917
OTU-15876	206647	94.32	1.14	73.92000007629395
OTU-07504	206655	97.32	0	97.31999969482422
OTU-07493	206656	91.02	2.62	73.77999782562256
OTU-02918	206658	99.29	0.63	89.74000108242035
OTU-06345	206660	99.24	0	71.23999834060669
OTU-16073	206666	98.9	2.2	71.97000098228455
OTU-06709	206668	90.64	0.66	73.8899998664856
OTU-15482	206671	78.74	0	78.73999786376953
OTU-15339	206678	62.01	0	62.0099983215332
OTU-23100	206679	99.19	0	99.19000244140625
OTU-15260	206685	65.84	0	65.83999633789062
OTU-15445	206686	60.2	0	52.279998779296875
OTU-14426	206688	88.32	0	77.06999969482422
OTU-06164	206696	99.46	1.72	70.60999917984009
OTU-21974	206704	89.88	2.53	77.22999739646912
OTU-14442	206707	95.6	0	90.0999983549118
OTU-04612	206712	86.8	0.74	83.1000030040741
OTU-22716	206717	89.23	0.12	88.63000337034464
OTU-12041	206718	99.37	0.95	91.74999856948853
